long,lat,"siruta","name","judet"
22.410800043400339,45.092257165282973,52543,"Zbegu","CS"
22.469101314029668,45.096410627548757,52552,"Zmogotin","CS"
22.45233856293202,45.056686348022723,52561,"Zoina","CS"
21.956995583640371,44.863653560517811,52589,"Dalboșeț","CS"
21.915049431403858,44.843582398054913,52598,"Bîrz","CS"
21.886838784079089,44.822704190765918,52605,"Boina","CS"
21.906921114418946,44.831718932263122,52614,"Boinița","CS"
21.933585955717444,44.835614966568954,52623,"Prislop","CS"
21.940568662197315,44.852208110864446,52632,"Reșița Mică","CS"
21.993896313760292,44.857897852233691,52641,"Șopotu Vechi","CS"
21.651679649620959,45.300836179002061,52669,"Doclin","CS"
21.687039680245203,45.3370428311081,52678,"Biniș","CS"
21.59525889641904,45.332228356636563,52687,"Tirol","CS"
21.750327926105395,45.269050002861121,52703,"Dognecea","CS"
21.698037761258075,45.226230595034465,52712,"Calina","CS"
22.315941368210982,45.081991667628458,52730,"Domașnea","CS"
22.354824105827827,45.068889893782256,52749,"Cănicea","CS"
21.885939784821737,45.40654350652477,52767,"Ezeriș","CS"
21.946019360745751,45.37243277052071,52776,"Soceni","CS"
21.847753224149134,45.487779842837611,52794,"Fîrliug","CS"
21.889217392220189,45.469169400539393,52801,"Dezești","CS"
21.778380333502167,45.511179060821476,52810,"Duleu","CS"
21.874952915832882,45.511038909824613,52829,"Remetea-Pogănici","CS"
21.917875412238352,45.517342486055995,52838,"Scăiuș","CS"
21.803711178510358,45.503043858838573,52847,"Valea Mare","CS"
21.582678883678867,45.23295936750668,52865,"Forotic","CS"
21.578982167742897,45.244364014899716,52874,"Brezon","CS"
21.561431877345431,45.181416913299479,52883,"Comorîște","CS"
21.586263518761076,45.266274095707779,52892,"Surducu Mare","CS"
21.79114832343534,44.751644653690327,52918,"Gîrnic","CS"
21.749124271337472,44.758095341455828,52927,"Padina Matei","CS"
22.320379644381642,45.494664842785973,52945,"Glimboca","CS"
21.776528034428068,45.185848649250545,52963,"Goruia","CS"
21.718538884936901,45.184886677166972,52972,"Giurgiova","CS"
21.811874289617343,45.177196758985211,52981,"Gîrliște","CS"
21.592649964916983,45.120403345761723,53005,"Grădinari","CS"
21.615754486671502,45.088672849647487,53014,"Greoni","CS"
22.312202556635807,44.950845449457724,53032,"Iablanița","CS"
22.269424298168719,44.994869480570436,53041,"Globu Craiovei","CS"
22.289133103556505,44.977698485443426,53050,"Petnic","CS"
22.226702571613338,44.983450449409723,53078,"Lăpușnicel","CS"
22.204353730576351,45.014940880205558,53087,"Pîrvova","CS"
22.18559482585346,44.960999917168103,53096,"Șumița","CS"
21.941780226387497,44.899588768960584,53112,"Lăpușnicu Mare","CS"
21.921542216472499,44.870130003538577,53121,"Moceriș","CS"
22.266309091961723,45.092534710365044,53149,"Luncavița","CS"
22.237618537425021,45.07721836012243,53158,"Verendin","CS"
21.81119772217556,45.283544594008681,53176,"Lupac","CS"
21.833108114783457,45.244615489097342,53185,"Clocotici","CS"
21.786787573248851,45.232814265245374,53194,"Rafnic","CS"
21.796077754227113,45.246303299423857,53201,"Vodnic","CS"
22.513612333775178,45.506940855469274,53229,"Marga","CS"
22.514000128558717,45.522198439933369,53238,"Vama Marga","CS"
21.503110220433541,45.40752803350761,53256,"Măureni","CS"
21.520707885327276,45.455195932421063,53265,"Șoșdea","CS"
22.365756521530336,44.904915046294526,53283,"Mehadia","CS"
22.369572819209782,45.006271176576007,53292,"Globurău","CS"
22.357088786361679,44.962174837813187,53309,"Plugova","CS"
22.388643265758006,44.945695239959498,53318,"Valea Bolvașnița","CS"
22.263211554084826,45.038615761851403,53336,"Mehadica","CS"
21.58906518171236,44.880743230553556,53354,"Naidăș","CS"
21.543980783079856,44.870261244749329,53363,"Lescovița","CS"
22.254936395761327,45.480166975145337,53381,"Obreja","CS"
22.225749375660655,45.480628630297893,53390,"Ciuta","CS"
22.232275877618648,45.464763452206007,53407,"Iaz","CS"
22.303568160055686,45.448049674881005,53416,"Var","CS"
22.160645442331852,45.433557899759059,53434,"Păltiniș","CS"
22.094000432780401,45.434564498127948,53443,"Cornuțel","CS"
22.071179905599585,45.38775813666885,53452,"Delinești","CS"
22.096095448448445,45.386984588520406,53461,"Ohabița","CS"
22.13193999950305,45.385833945483654,53470,"Rugi","CS"
21.683979931073715,44.67969568738846,53498,"Coronini","CS"
21.712263839924837,44.678092537864572,53504,"Sfînta Elena","CS"
21.57551243838439,44.771294353778629,53522,"Pojejena","CS"
21.512134556712212,44.787686619277437,53531,"Belobreșca","CS"
21.480851902344913,44.782357868173079,53540,"Divici","CS"
21.562252419174623,44.79468010632776,53559,"Radimna","CS"
21.52978591932483,44.784133609387808,53568,"Șușca","CS"
22.111974183967781,44.926913990993825,53586,"Prigor","CS"
22.14181761219746,44.968427861808216,53595,"Borlovenii Noi","CS"
22.107924801766391,44.954800376035351,53602,"Borlovenii Vechi","CS"
22.099763616611519,44.95072917120374,53611,"Pătaș","CS"
22.175577544069668,44.93616381526418,53620,"Putna","CS"
21.688400276626648,45.438932179226562,53648,"Ramna","CS"
21.75222435616395,45.464544099719205,53657,"Bărbosu","CS"
21.722381656637815,45.491418069552232,53666,"Valeapai","CS"
21.624219558569827,44.9936548179951,53684,"Răcășdia","CS"
21.548398976094219,45.001001195191833,53693,"Vrăniuț","CS"
22.093675789114503,44.877109361714673,53719,"Eftimie Murgu","CS"
22.4565952549444,45.567090787814166,53737,"Rusca Montană","CS"
22.413039606329722,45.63310115129137,53746,"Rușchița","CS"
22.116589340490275,45.575689070382502,53764,"Sacu","CS"
22.061602805506769,45.566728757520565,53773,"Sălbăgelu Nou","CS"
22.14854687795652,45.571156114150426,53782,"Tincova","CS"
21.707602353494789,44.885123098194939,53808,"Sasca Montană","CS"
21.660794725812035,44.898083935630453,53817,"Bogodinț","CS"
21.721029221259286,44.927218633425426,53826,"Potoc","CS"
21.723026256945438,44.892000010961169,53835,"Sasca Română","CS"
21.68814215025186,44.915599573359806,53844,"Slatina-Nera","CS"
21.844327232885139,44.696584447447179,53862,"Sichevița","CS"
21.882678422066959,44.702800379028609,53871,"Brestelnic","CS"
21.823356656220469,44.71969302968229,53880,"Camenița","CS"
21.80689822373358,44.729069356597066,53899,"Cîrșie","CS"
21.849129030665789,44.737647977360787,53906,"Cracu Almăj","CS"
21.815791395818778,44.682394648463173,53915,"Crușovița","CS"
21.803747494400994,44.721921446500112,53924,"Curmătura","CS"
21.772137634227654,44.727990536144276,53933,"Frăsiniș","CS"
21.855192097193981,44.68028560608505,53942,"Gornea","CS"
21.770776326616232,44.673867295179406,53951,"Liborajdea","CS"
21.789236165372557,44.689898228480217,53960,"Lucacevăț","CS"
21.774855624693711,44.702786292004568,53979,"Martinovăț","CS"
21.868652617434634,44.695866619698428,53988,"Ogașu Podului","CS"
21.765736976762188,44.680673666570613,53997,"Streneac","CS"
21.92350951561405,44.690929333289525,54001,"Valea Orevița","CS"
21.856715972829111,44.72529081398465,54010,"Valea Ravensca","CS"
21.85765891439442,44.709921333541814,54029,"Valea Sicheviței","CS"
21.835866681638755,44.734422903760574,54038,"Zănou","CS"
21.827304675561574,44.708585823587761,54047,"Zăsloane","CS"
22.283059980250609,45.26041061299874,54065,"Slatina-Timiș","CS"
22.339954563900569,45.27738712219152,54074,"Ilova","CS"
22.343980922677119,45.256542083515832,54083,"Sadova Nouă","CS"
22.299063736128375,45.246929113510497,54092,"Sadova Veche","CS"
21.370938528540467,44.860243485177683,54118,"Socol","CS"
21.389746312511068,44.815634385529954,54127,"Baziaș","CS"
21.413097896647905,44.861454786594621,54136,"Cîmpia","CS"
21.439940278855158,44.863051150811053,54145,"Pîrneaura","CS"
21.467622264467174,44.864604332081448,54154,"Zlatița","CS"
21.859657865116773,44.817540176336045,54172,"Șopotu Nou","CS"
21.812516036320055,44.784554471187462,54181,"Cîrșa Roșie","CS"
21.856059784032201,44.83559992208184,54190,"Driștie","CS"
21.878492235122504,44.791808502011271,54207,"Poienile Boinei","CS"
21.914082463824137,44.773771758721388,54216,"Ravensca","CS"
21.845712138177621,44.780696814543518,54225,"Răchita","CS"
21.811238581154743,44.815895546481897,54234,"Stăncilova","CS"
21.834008764371269,44.806263150450533,54243,"Urcu","CS"
21.871513557672198,44.759392429062444,54252,"Valea Răchitei","CS"
21.814733246105121,44.796060450750943,54261,"Valea Roșie","CS"
22.28369289798972,45.145221374718119,54289,"Teregova","CS"
22.337037586446897,45.144840170119707,54298,"Rusca","CS"
21.63951755493072,45.140117605271421,54314,"Ticvaniu Mare","CS"
21.633444213981431,45.200650580437824,54323,"Cîrnecea","CS"
21.694570710902358,45.178454731473209,54332,"Secășeni","CS"
21.650080380853872,45.115489747972624,54341,"Ticvaniu Mic","CS"
22.002134747334544,45.338258564969806,54369,"Tîrnova","CS"
21.931716664013692,45.326572313393108,54378,"Bratova","CS"
22.394885756231641,44.798084666973864,54396,"Topleț","CS"
22.384059726886978,44.810329662062514,54403,"Bîrza","CS"
22.334013147120448,45.39037950265255,54421,"Turnu Ruieni","CS"
22.350440757840541,45.367052051787482,54430,"Borlova","CS"
22.308080617915248,45.427766496166967,54449,"Cicleni","CS"
22.313698640487544,45.414783149777719,54458,"Dalci","CS"
22.290822850771953,45.406461849854196,54467,"Zervești","CS"
22.298925004752508,45.377667305777706,54476,"Zlagna","CS"
22.030129263277868,45.226097569182933,54494,"Văliug","CS"
21.54077411058509,45.081364453905799,54519,"Vărădia","CS"
21.536838539587688,45.061272907976658,54528,"Mercina","CS"
21.657692374282544,45.522496490143681,54546,"Vermeș","CS"
21.62291040202722,45.499598388634823,54555,"Ersig","CS"
21.604336915462476,45.543388716139773,54564,"Izgar","CS"
21.491245562063497,45.041022792913125,54582,"Vrani","CS"
21.447136849691198,45.031263493882413,54591,"Ciortea","CS"
21.513427301379316,45.010652804377024,54608,"Iertof","CS"
22.410752701225146,45.524278333222888,54626,"Zăvoi","CS"
22.412866486530959,45.499228800139313,54635,"Măgura","CS"
22.448823420835421,45.475537988612018,54644,"Măru","CS"
22.539145216511962,45.40295806796712,54653,"Poiana Mărului","CS"
22.42581900473327,45.525268534568944,54662,"Valea Bistrei","CS"
22.458106813029417,45.527201103408551,54671,"Voislova","CS"
22.397736966799179,45.522711932668514,54680,23/08/18,"CS"
21.951670570599354,45.452189624350844,54706,"Zorlențu Mare","CS"
22.008297714327647,45.475535778143758,54715,"Zorlencior","CS"
23.603520755655378,46.777626056295794,54984,"Cluj-Napoca","CJ"
23.875330778120205,47.141734537342927,55017,"Dej","CJ"
23.857730198771925,47.115525181531808,55026,"Ocna Dejului","CJ"
23.725353658882153,47.186304837576152,55035,"Peștera","CJ"
23.793447900330207,47.077561480728605,55044,"Pintic","CJ"
23.761833623014798,47.162077010531164,55053,"Șomcutu Mic","CJ"
23.91981012571938,47.17044426117522,55071,"Cuzdrioara","CJ"
23.951277422784383,47.170985836746411,55080,"Mănășturel","CJ"
23.92153873130118,47.205942866150657,55099,"Valea Gîrboului","CJ"
23.786767078448207,47.12862121996173,55115,"Jichișu de Jos","CJ"
23.822966714246288,47.126809295652308,55124,"Codor","CJ"
23.746225212711945,47.100531885409154,55133,"Jichișu de Sus","CJ"
23.71553288134583,47.100770582862481,55142,"Șigău","CJ"
23.759880057328996,47.143252697519671,55151,"Tărpiu","CJ"
23.92436531560719,47.147833136870474,55179,"Mica","CJ"
23.950928682616379,47.151666909565762,55188,"Dîmbu Mare","CJ"
23.922173102600986,47.120336677811885,55197,"Mănăstirea","CJ"
23.9793114885221,47.114710651727599,55204,"Nireș","CJ"
23.993005848312968,47.156215500002403,55213,"Sînmărghita","CJ"
24.024618952295775,47.150467801147826,55222,"Valea Cireșoii","CJ"
24.025830069973797,47.16733759814376,55231,"Valea Luncii","CJ"
23.784149397111729,46.574274301454302,55268,"Turda","CJ"
23.746989446815867,46.540004927442844,55286,"Mihai Viteazu","CJ"
23.707097696131353,46.541137639461013,55295,"Cheia","CJ"
23.688991655131474,46.522314382969292,55302,"Cornești","CJ"
23.720530279405349,46.580692368958594,55320,"Săndulești","CJ"
23.737274699186695,46.596462788229687,55339,"Copăceni","CJ"
23.88313063298537,46.543883706131147,55366,"Câmpia Turzii","CJ"
23.909929722319884,47.030387507522271,55393,"Gherla","CJ"
23.86431261614603,47.030217741986746,55400,"Băița","CJ"
23.878337004916283,47.008176921441752,55419,"Hășdate","CJ"
23.866357929259319,46.987330355909378,55428,"Silivaș","CJ"
23.024354043333911,46.863425235475241,55455,"Huedin","CJ"
23.051149564798344,46.880060837451616,55464,"Bicălatu","CJ"
23.236128780452184,46.87180091866712,55482,"Aghireșu","CJ"
23.268455089320721,46.866586189013084,55491,"Aghireșu-Fabrici","CJ"
23.239625312448691,46.9362363463527,55507,"Arghișu","CJ"
23.302481437806335,46.863852995986612,55516,"Băgara","CJ"
23.224094754491283,46.909903635682504,55525,"Dîncu","CJ"
23.293566257853243,46.855748916380946,55534,"Dorolțu","CJ"
23.246801349852515,46.848109279599861,55543,"Inucu","CJ"
23.187590365910239,46.846779293778916,55552,"Leghia","CJ"
23.292179951391415,46.830623198310505,55561,"Macău","CJ"
23.243326436443045,46.906796917781691,55570,"Ticu","CJ"
23.233339867511518,46.916704291537712,55589,"Ticu-Colonie","CJ"
23.737724914033635,46.683139119399904,55605,"Aiton","CJ"
23.691250185796193,46.681791983182109,55614,"Rediu","CJ"
23.744789042978695,47.041135455311633,55632,"Aluniș","CJ"
23.745670521187055,47.075118211570071,55641,"Corneni","CJ"
23.7833178724905,47.038551782905898,55650,"Ghirolt","CJ"
23.716261444710319,47.042531306401408,55669,"Pruneni","CJ"
23.720166280839475,47.08099247468126,55678,"Vale","CJ"
23.751723691046205,46.80597058177726,55696,"Apahida","CJ"
23.765148132111086,46.731351517322203,55703,"Bodrog","CJ"
23.687615888314998,46.852109812179179,55712,"Cîmpenești","CJ"
23.826504205845577,46.791667367725545,55721,"Corpadea","CJ"
23.722913452384383,46.764462284342322,55730,"Dezmir","CJ"
23.745468358279187,46.726720667176522,55749,"Pata","CJ"
23.724103946722707,46.789615736223809,55758,"Sînnicoară","CJ"
