id,"cod_jud","denumire_uat","nr_sv","sediu",lat,long,"adresa"
9242,"PH","Brazii De Sus","PH345","Fostul sediu al Gradinţei de copii din Colonia Brazi",44.8806783000,26.0200769200,"UAT: BRAZI, Localitate: BRAZII DE SUS, Artera: Strada Trandafirilor, Nr: 51, Bl: A3"
9243,"PH","Brazii De Sus","PH342","Şcoala Gimnazială Brazi",44.8539034200,26.0195531200,"UAT: BRAZI, Localitate: BRAZII DE SUS, Artera: Strada Lalelelor, Nr: 6"
9244,"PH","Băteşti","PH340","Sala de sport a Şcolii gimnaziale Dumitru Hera Băteşti",44.8489620300,26.0389655300,"UAT: BRAZI, Localitate: BĂTEŞTI, Artera: Strada Titu Maiorescu, Nr: 1A"
9245,"PH","Brazii De Jos","PH341","Sala de festivităţi a Primăriei comunei Brazi",44.8495376100,26.0234243900,"UAT: BRAZI, Localitate: BRAZII DE JOS, Artera: Strada Teilor, Nr: 45"
9246,"PH","Negoieşti","PH344","Sala de Sport a Şcolii Gimnaziale Profesor Oprea Mihai sat Negoieşti",44.8754295100,25.9816199900,"UAT: BRAZI, Localitate: NEGOIEŞTI, Artera: Strada Bucegi, Nr: 52"
9247,"PH","Popeşti","PH343","Punctul de lucru al Primăriei Brazi din satul Popeşti",44.8578738600,25.9922747200,"UAT: BRAZI, Localitate: POPEŞTI, Artera: Strada Portocalilor, Nr: 68"
9248,"PH","Stejaru","PH346","Fostul sediu al Şcolii gimnaziale din satul Stejaru",44.8368155800,25.9617158700,"UAT: BRAZI, Localitate: STEJARU, Artera: Strada Haiducilor, Nr: 75"
9249,"PH","Brebu Mânăstirei","PH347","ŞCOALA GIMNAZIALĂ MATEI BASARAB CORP B, SAT BREBU MÎNĂSTIREI, NR.803",45.1811481000,25.7670220800,"UAT: BREBU, Localitate: BREBU MÂNĂSTIREI"
9250,"PH","Brebu Mânăstirei","PH348","ŞCOALA GIMNAZIALĂ MATEI BASARAB CORP A, SAT BREBU MÎNĂSTIREI, NR.799",45.1810712200,25.7695755600,"UAT: BREBU, Localitate: BREBU MÂNĂSTIREI"
9251,"PH","Brebu Megieşesc","PH349","ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ PRIMARĂ STRUCTURĂ, NR.2, SAT BREBU MEGIEŞESC, NR.53",45.1676732600,25.7726555500,"UAT: BREBU, Localitate: BREBU MEGIEŞESC"
9252,"PH","Brebu Megieşesc","PH350","ŞCOALA GIMNAZIALĂ MATEI BASARAB, ŞCOALĂ PRIMARĂ STRUCTURĂ, SAT BREBU MEGIEŞESC, NR.278",45.1886192200,25.7610257500,"UAT: BREBU, Localitate: BREBU MEGIEŞESC"
9253,"PH","Cioranii De Jos","PH374","LICEUL CIORANI",44.8211293400,26.4114418900,"UAT: CIORANI, Localitate: CIORANII DE JOS"
